,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Luka Jovic,"€ 240,385","€ 12,500,000","€ 12,500,000",F,23,Serbia,Eintracht Frankfurt,Bundesliga,2020-2021
2,Kevin Trapp,"€ 67,308","€ 3,500,000","€ 3,500,000",K,30,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
3,Bas Dost,"€ 52,692","€ 2,740,000","€ 2,740,000",F,31,Netherlands,Eintracht Frankfurt,Bundesliga,2020-2021
4,Filip Kostic,"€ 51,923","€ 2,700,000","€ 2,700,000",M,27,Serbia,Eintracht Frankfurt,Bundesliga,2020-2021
5,André Silva,"€ 51,923","€ 2,700,000","€ 2,700,000",F,24,Portugal,Eintracht Frankfurt,Bundesliga,2020-2021
6,Martin Hinteregger,"€ 50,577","€ 2,630,000","€ 2,630,000",D,28,Austria,Eintracht Frankfurt,Bundesliga,2020-2021
7,Amin Younes,"€ 46,154","€ 2,400,000","€ 2,400,000",F,27,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
8,Sebastian Rode,"€ 40,385","€ 2,100,000","€ 2,100,000",M,30,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
9,Djibril Sow,"€ 39,808","€ 2,070,000","€ 2,070,000",M,23,Switzerland,Eintracht Frankfurt,Bundesliga,2020-2021
10,Daichi Kamada,"€ 38,462","€ 2,000,000","€ 2,000,000",F,24,Japan,Eintracht Frankfurt,Bundesliga,2020-2021
11,Jetro Willems,"€ 34,615","€ 1,800,000","€ 1,800,000",D,26,Netherlands,Eintracht Frankfurt,Bundesliga,2020-2021
12,Almamy Touré,"€ 32,692","€ 1,700,000","€ 1,700,000",D,24,France,Eintracht Frankfurt,Bundesliga,2020-2021
13,Timothy Chandler,"€ 26,923","€ 1,400,000","€ 1,400,000",D,30,United States,Eintracht Frankfurt,Bundesliga,2020-2021
14,Erik Durm,"€ 26,923","€ 1,400,000","€ 1,400,000",D,28,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
15,Stefan Ilsanker,"€ 26,923","€ 1,400,000","€ 1,400,000",M,31,Austria,Eintracht Frankfurt,Bundesliga,2020-2021
16,David Abraham,"€ 25,000","€ 1,300,000","€ 1,300,000",D,34,Argentina,Eintracht Frankfurt,Bundesliga,2020-2021
17,Makoto Hasebe,"€ 23,077","€ 1,200,000","€ 1,200,000",M,36,Japan,Eintracht Frankfurt,Bundesliga,2020-2021
18,Evan N'Dicka,"€ 23,077","€ 1,200,000","€ 1,200,000",D,21,France,Eintracht Frankfurt,Bundesliga,2020-2021
19,Dominik Kohr,"€ 22,885","€ 1,190,000","€ 1,190,000",M,26,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
20,Steven Zuber,"€ 17,885","€ 930,000","€ 930,000",M,29,Switzerland,Eintracht Frankfurt,Bundesliga,2020-2021
21,Danny da Costa,"€ 15,000","€ 780,000","€ 780,000",D,27,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
22,Markus Schubert,"€ 7,692","€ 400,000","€ 400,000",K,22,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
23,Marijan Cavar,"€ 6,731","€ 350,000","€ 350,000",M,22,Bosnia-Herzegovina,Eintracht Frankfurt,Bundesliga,2020-2021
24,Ragnar Ache,"€ 6,731","€ 350,000","€ 350,000",F,22,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
25,Aymen Barkok,"€ 4,423","€ 230,000","€ 230,000",F,22,Morocco,Eintracht Frankfurt,Bundesliga,2020-2021
26,Tuta,"€ 4,038","€ 210,000","€ 210,000",D,21,Brazil,Eintracht Frankfurt,Bundesliga,2020-2021
27,Ajdin Hrustic,"€ 3,462","€ 180,000","€ 180,000",F,24,Australia,Eintracht Frankfurt,Bundesliga,2020-2021
28,Jabez Makanda,€ 962,"€ 50,000","€ 50,000",F,19,Angola,Eintracht Frankfurt,Bundesliga,2020-2021
29,Felix Irorere,€ 962,"€ 50,000","€ 50,000",D,18,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
30,Elias Bördner,€ 962,"€ 50,000","€ 50,000",K,18,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
31,Lukas Fahrnberger,€ 769,"€ 40,000","€ 40,000",M,19,Austria,Eintracht Frankfurt,Bundesliga,2020-2021
32,Yannick Brugger,€ 385,"€ 20,000","€ 20,000",D,19,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
33,Fynn Otto,€ 385,"€ 20,000","€ 20,000",D,18,Germany,Eintracht Frankfurt,Bundesliga,2020-2021
