,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,John Guidetti,"€ 27,346","€ 1,422,000","€ 1,471,475",F,25,Sweden,Alaves,La Liga,2017-2018
2,Daniel Torres,"€ 23,788","€ 1,237,000","€ 1,280,038",M,27,Colombia,Alaves,La Liga,2017-2018
3,Tomás Pina,"€ 22,038","€ 1,146,000","€ 1,185,872",M,29,Spain,Alaves,La Liga,2017-2018
4,Hernán Pérez,"€ 22,019","€ 1,145,000","€ 1,184,837",F,28,Paraguay,Alaves,La Liga,2017-2018
5,Fernando Pacheco,"€ 19,038","€ 990,000","€ 1,024,444",K,25,Spain,Alaves,La Liga,2017-2018
6,Ibai Gómez,"€ 17,346","€ 902,000","€ 933,383",F,27,Spain,Alaves,La Liga,2017-2018
7,Alexis,"€ 16,942","€ 881,000","€ 911,652",D,31,Spain,Alaves,La Liga,2017-2018
8,Álvaro Medrán,"€ 15,885","€ 826,000","€ 854,738",M,23,Spain,Alaves,La Liga,2017-2018
9,Alfonso Pedraza,"€ 14,365","€ 747,000","€ 772,990",F,21,Spain,Alaves,La Liga,2017-2018
10,Héctor Hernández,"€ 13,192","€ 686,000","€ 709,868",D,26,Spain,Alaves,La Liga,2017-2018
11,Rodrigo Ely,"€ 12,500","€ 650,000","€ 672,615",D,23,Brazil,Alaves,La Liga,2017-2018
12,Rubén Sobrino,"€ 12,346","€ 642,000","€ 664,337",F,25,Spain,Alaves,La Liga,2017-2018
13,Burgui,"€ 12,346","€ 642,000","€ 664,337",F,23,Spain,Alaves,La Liga,2017-2018
14,Mubarak Wakaso,"€ 11,654","€ 606,000","€ 627,084",M,26,Ghana,Alaves,La Liga,2017-2018
15,Rubén Duarte,"€ 11,558","€ 601,000","€ 621,910",D,21,Spain,Alaves,La Liga,2017-2018
16,Manu García,"€ 10,327","€ 537,000","€ 555,683",M,31,Spain,Alaves,La Liga,2017-2018
17,Carlos Vigaray,"€ 10,154","€ 528,000","€ 546,370",D,22,Spain,Alaves,La Liga,2017-2018
18,Víctor Laguardia,"€ 10,135","€ 527,000","€ 545,336",D,27,Spain,Alaves,La Liga,2017-2018
19,Christian Santos,"€ 10,077","€ 524,000","€ 542,231",F,29,Venezuela,Alaves,La Liga,2017-2018
20,Guillermo Maripán,"€ 8,500","€ 442,000","€ 457,378",D,23,Chile,Alaves,La Liga,2017-2018
21,Antonio Sivera,"€ 5,481","€ 285,000","€ 294,916",K,20,Spain,Alaves,La Liga,2017-2018
22,Adrián Diéguez,€ 673,"€ 35,000","€ 36,218",D,21,Spain,Alaves,La Liga,2017-2018
23,Ermedin Demirovic,€ 596,"€ 31,000","€ 32,079",F,19,Bosnia-Herzegovina,Alaves,La Liga,2017-2018
24,Víctor López,€ 538,"€ 28,000","€ 28,974",F,20,Spain,Alaves,La Liga,2017-2018
25,Aritz Castro,€ 346,"€ 18,000","€ 18,626",K,19,Spain,Alaves,La Liga,2017-2018
26,Ioritz Landeta,€ 135,"€ 7,000","€ 7,244",K,21,Spain,Alaves,La Liga,2017-2018
27,Óscar Romero,€ 0,€ 0,€ 0,M,24,Paraguay,Alaves,La Liga,2017-2018
28,Enzo Zidane,€ 0,€ 0,€ 0,M,22,France,Alaves,La Liga,2017-2018
29,Einar Galilea,€ 0,€ 0,€ 0,M,23,Spain,Alaves,La Liga,2017-2018
30,Bojan Krkic,€ 0,€ 0,€ 0,F,26,Spain,Alaves,La Liga,2017-2018
31,Munir El Haddadi,€ 0,€ 0,€ 0,F,21,Spain,Alaves,La Liga,2017-2018
32,Aleksandar Katai,€ 0,€ 0,€ 0,F,26,Serbia,Alaves,La Liga,2017-2018
33,Martin Aguirregabiria,€ 0,€ 0,€ 0,D,21,Spain,Alaves,La Liga,2017-2018
