,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Thiago,"£ 200,000","£ 10,400,000","£ 10,400,000",M,29,Spain,Liverpool,Premier League,2020-2021
2,Mohamed Salah,"£ 200,000","£ 10,400,000","£ 10,400,000",F,28,Egypt,Liverpool,Premier League,2020-2021
3,Roberto Firmino,"£ 180,000","£ 9,360,000","£ 9,360,000",F,29,Brazil,Liverpool,Premier League,2020-2021
4,Virgil van Dijk,"£ 180,000","£ 9,360,000","£ 9,360,000",D,29,Netherlands,Liverpool,Premier League,2020-2021
5,James Milner,"£ 140,000","£ 7,280,000","£ 7,280,000",M,34,England,Liverpool,Premier League,2020-2021
6,Naby Keïta,"£ 120,000","£ 6,240,000","£ 6,240,000",M,25,Guinea,Liverpool,Premier League,2020-2021
7,Alex Oxlade-Chamberlain,"£ 120,000","£ 6,240,000","£ 6,240,000",M,27,England,Liverpool,Premier League,2020-2021
8,Joel Matip,"£ 100,000","£ 5,200,000","£ 5,200,000",D,29,Cameroon,Liverpool,Premier League,2020-2021
9,Jordan Henderson,"£ 100,000","£ 5,200,000","£ 5,200,000",M,30,England,Liverpool,Premier League,2020-2021
10,Sadio Mané,"£ 100,000","£ 5,200,000","£ 5,200,000",F,28,Senegal,Liverpool,Premier League,2020-2021
11,Fabinho,"£ 100,000","£ 5,200,000","£ 5,200,000",M,26,Brazil,Liverpool,Premier League,2020-2021
12,Diogo Jota,"£ 90,000","£ 4,680,000","£ 4,680,000",F,23,Portugal,Liverpool,Premier League,2020-2021
13,Alisson,"£ 90,000","£ 4,680,000","£ 4,680,000",K,28,Brazil,Liverpool,Premier League,2020-2021
14,Xherdan Shaqiri,"£ 80,000","£ 4,160,000","£ 4,160,000",F,29,Switzerland,Liverpool,Premier League,2020-2021
15,Takumi Minamino,"£ 75,000","£ 3,900,000","£ 3,900,000",F,25,Japan,Liverpool,Premier League,2020-2021
16,Joe Gomez,"£ 75,000","£ 3,900,000","£ 3,900,000",D,23,England,Liverpool,Premier League,2020-2021
17,Georginio Wijnaldum,"£ 75,000","£ 3,900,000","£ 3,900,000",M,29,Netherlands,Liverpool,Premier League,2020-2021
18,Nathaniel Phillips,"£ 65,000","£ 3,380,000","£ 3,380,000",D,23,England,Liverpool,Premier League,2020-2021
19,Ozan Kabak,"£ 65,000","£ 3,380,000","£ 3,380,000",D,20,Turkey,Liverpool,Premier League,2020-2021
20,Andrew Robertson,"£ 60,000","£ 3,120,000","£ 3,120,000",D,26,Scotland,Liverpool,Premier League,2020-2021
21,Ben Davies,"£ 60,000","£ 3,120,000","£ 3,120,000",D,25,England,Liverpool,Premier League,2020-2021
22,Adrián,"£ 55,000","£ 2,860,000","£ 2,860,000",K,33,Spain,Liverpool,Premier League,2020-2021
23,Konstantinos Tsimikas,"£ 50,000","£ 2,600,000","£ 2,600,000",D,24,Greece,Liverpool,Premier League,2020-2021
24,Divock Origi,"£ 45,000","£ 2,340,000","£ 2,340,000",F,25,Belgium,Liverpool,Premier League,2020-2021
25,Trent Alexander-Arnold,"£ 40,000","£ 2,080,000","£ 2,080,000",D,22,England,Liverpool,Premier League,2020-2021
26,Neco Williams,"£ 25,000","£ 1,300,000","£ 1,300,000",D,19,Wales,Liverpool,Premier League,2020-2021
27,Ben Woodburn,"£ 11,923","£ 620,000","£ 620,000",F,21,Wales,Liverpool,Premier League,2020-2021
28,Curtis Jones,"£ 10,000","£ 520,000","£ 520,000",M,19,England,Liverpool,Premier League,2020-2021
29,Caoimhin Kelleher,"£ 5,962","£ 310,000","£ 310,000",K,21,Ireland,Liverpool,Premier League,2020-2021
30,Sepp van den Berg,"£ 5,000","£ 260,000","£ 260,000",D,18,Netherlands,Liverpool,Premier League,2020-2021
31,Rhys Williams,"£ 1,538","£ 80,000","£ 80,000",D,19,England,Liverpool,Premier League,2020-2021
