,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Kevin De Bruyne,"£ 400,000","£ 20,800,000","£ 20,800,000",F,29,Belgium,Manchester City,Premier League,2020-2021
2,Raheem Sterling,"£ 300,000","£ 15,600,000","£ 15,600,000",F,25,England,Manchester City,Premier League,2020-2021
3,Sergio Agüero,"£ 230,192","£ 11,970,000","£ 11,970,000",F,32,Argentina,Manchester City,Premier League,2020-2021
4,Kyle Walker,"£ 160,000","£ 8,320,000","£ 8,320,000",D,30,England,Manchester City,Premier League,2020-2021
5,Fernandinho,"£ 150,000","£ 7,800,000","£ 7,800,000",M,35,Brazil,Manchester City,Premier League,2020-2021
6,Bernardo Silva,"£ 150,000","£ 7,800,000","£ 7,800,000",F,26,Portugal,Manchester City,Premier League,2020-2021
7,Ilkay Gündogan,"£ 140,000","£ 7,280,000","£ 7,280,000",M,29,Germany,Manchester City,Premier League,2020-2021
8,Rodri,"£ 121,154","£ 6,300,000","£ 6,300,000",M,24,Spain,Manchester City,Premier League,2020-2021
9,Riyad Mahrez,"£ 120,000","£ 6,240,000","£ 6,240,000",F,29,Algeria,Manchester City,Premier League,2020-2021
10,Aymeric Laporte,"£ 120,000","£ 6,240,000","£ 6,240,000",D,26,France,Manchester City,Premier League,2020-2021
11,John Stones,"£ 100,000","£ 5,200,000","£ 5,200,000",D,26,England,Manchester City,Premier League,2020-2021
12,Nathan Aké,"£ 90,000","£ 4,680,000","£ 4,680,000",D,25,Netherlands,Manchester City,Premier League,2020-2021
13,Benjamin Mendy,"£ 90,000","£ 4,680,000","£ 4,680,000",D,26,France,Manchester City,Premier League,2020-2021
14,Gabriel Jesus,"£ 90,000","£ 4,680,000","£ 4,680,000",F,23,Brazil,Manchester City,Premier League,2020-2021
15,Rúben Dias,"£ 90,000","£ 4,680,000","£ 4,680,000",D,23,Portugal,Manchester City,Premier League,2020-2021
16,João Cancelo,"£ 80,000","£ 4,160,000","£ 4,160,000",D,26,Portugal,Manchester City,Premier League,2020-2021
17,Ederson,"£ 65,000","£ 3,380,000","£ 3,380,000",K,27,Brazil,Manchester City,Premier League,2020-2021
18,Phil Foden,"£ 60,000","£ 3,120,000","£ 3,120,000",M,20,England,Manchester City,Premier League,2020-2021
19,Ferran Torres,"£ 46,154","£ 2,400,000","£ 2,400,000",F,20,Spain,Manchester City,Premier League,2020-2021
20,Zack Steffen,"£ 46,000","£ 2,392,000","£ 2,392,000",K,25,United States,Manchester City,Premier League,2020-2021
21,Philippe Sandler,"£ 38,000","£ 1,976,000","£ 1,976,000",D,23,Netherlands,Manchester City,Premier League,2020-2021
22,Scott Carson,"£ 25,000","£ 1,300,000","£ 1,300,000",K,35,England,Manchester City,Premier League,2020-2021
23,Oleksandr Zinchenko,"£ 20,000","£ 1,040,000","£ 1,040,000",D,23,Ukraine,Manchester City,Premier League,2020-2021
24,Eric García,"£ 11,923","£ 620,000","£ 620,000",D,19,Spain,Manchester City,Premier League,2020-2021
25,Tommy Doyle,"£ 10,000","£ 520,000","£ 520,000",M,19,England,Manchester City,Premier League,2020-2021
26,Taylor Harwood-Bellis,"£ 7,500","£ 390,000","£ 390,000",D,18,England,Manchester City,Premier League,2020-2021
