,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Pierre-Emerick Aubameyang,"£ 250,000","£ 13,000,000","£ 13,000,000",F,32,Gabon,Arsenal,Premier League,2021-2022
2,Thomas Partey,"£ 200,000","£ 10,400,000","£ 10,400,000",M,28,Ghana,Arsenal,Premier League,2021-2022
3,Alexandre Lacazette,"£ 182,115","£ 9,470,000","£ 9,470,000",F,30,France,Arsenal,Premier League,2021-2022
4,Nicolas Pépé,"£ 140,000","£ 7,280,000","£ 7,280,000",F,26,Cote d'Ivoire,Arsenal,Premier League,2021-2022
5,Ben White,"£ 120,000","£ 6,240,000","£ 6,240,000",D,24,England,Arsenal,Premier League,2021-2022
6,Granit Xhaka,"£ 120,000","£ 6,240,000","£ 6,240,000",M,29,Switzerland,Arsenal,Premier League,2021-2022
7,Martin Ødegaard,"£ 115,000","£ 5,980,000","£ 5,980,000",F,23,Norway,Arsenal,Premier League,2021-2022
8,Kieran Tierney,"£ 110,000","£ 5,720,000","£ 5,720,000",D,24,Scotland,Arsenal,Premier League,2021-2022
9,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,200,000",K,29,Germany,Arsenal,Premier League,2021-2022
10,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,200,000",D,28,Bosnia-Herzegovina,Arsenal,Premier League,2021-2022
11,Gabriel Martinelli,"£ 90,000","£ 4,680,000","£ 4,680,000",F,20,Brazil,Arsenal,Premier League,2021-2022
12,Pablo Marí,"£ 85,000","£ 4,420,000","£ 4,420,000",D,28,Spain,Arsenal,Premier League,2021-2022
13,Cédric Soares,"£ 75,000","£ 3,900,000","£ 3,900,000",D,30,Portugal,Arsenal,Premier League,2021-2022
14,Bukayo Saka,"£ 70,000","£ 3,640,000","£ 3,640,000",M,20,England,Arsenal,Premier League,2021-2022
15,Aaron Ramsdale,"£ 60,000","£ 3,120,000","£ 3,120,000",K,23,England,Arsenal,Premier League,2021-2022
16,Takehiro Tomiyasu,"£ 55,000","£ 2,860,000","£ 2,860,000",D,23,Japan,Arsenal,Premier League,2021-2022
17,Gabriel Magalhães,"£ 50,000","£ 2,600,000","£ 2,600,000",D,24,Brazil,Arsenal,Premier League,2021-2022
18,Mohamed Elneny,"£ 50,000","£ 2,600,000","£ 2,600,000",M,29,Egypt,Arsenal,Premier League,2021-2022
19,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,600,000",D,26,England,Arsenal,Premier League,2021-2022
20,Albert Sambi Lokonga,"£ 50,000","£ 2,600,000","£ 2,600,000",M,22,Belgium,Arsenal,Premier League,2021-2022
21,Eddie Nketiah,"£ 45,000","£ 2,340,000","£ 2,340,000",F,22,England,Arsenal,Premier League,2021-2022
22,Rob Holding,"£ 40,000","£ 2,080,000","£ 2,080,000",D,26,England,Arsenal,Premier League,2021-2022
23,Emile Smith Rowe,"£ 40,000","£ 2,080,000","£ 2,080,000",F,21,England,Arsenal,Premier League,2021-2022
24,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,820,000",M,24,England,Arsenal,Premier League,2021-2022
25,Folarin Balogun,"£ 30,000","£ 1,560,000","£ 1,560,000",F,20,England,Arsenal,Premier League,2021-2022
26,Nuno Tavares,"£ 26,923","£ 1,400,000","£ 1,400,000",D,22,Portugal,Arsenal,Premier League,2021-2022
27,Arthur Okonkwo,"£ 1,538","£ 80,000","£ 80,000",K,20,England,Arsenal,Premier League,2021-2022
